,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.5384615384615384,0.525,0.5316455696202531,40.0
Healty Brinjal,0.7706422018348624,0.8155339805825242,0.7924528301886793,103.0
Phomopsis Bright,0.23684210526315788,0.28125,0.2571428571428571,32.0
Shoot and Fruit Borer,0.7714285714285715,0.7448275862068966,0.7578947368421053,145.0
Wet Rot,0.5142857142857142,0.43902439024390244,0.47368421052631576,41.0
accuracy,0.6648199445983379,0.6648199445983379,0.6648199445983379,0.6648199445983379
macro avg,0.5663320262547689,0.5611271914066647,0.5625640408640422,361.0
weighted avg,0.6687989275311096,0.6648199445983379,0.6660189063614951,361.0
