,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.041666666666666664,0.075,0.05357142857142857,40.0
Healty Brinjal,0.0,0.0,0.0,103.0
Phomopsis Bright,0.0,0.0,0.0,32.0
Shoot and Fruit Borer,0.4740484429065744,0.9448275862068966,0.631336405529954,145.0
Wet Rot,0.0,0.0,0.0,41.0
accuracy,0.3878116343490305,0.3878116343490305,0.3878116343490305,0.3878116343490305
macro avg,0.10314302191464822,0.20396551724137932,0.1369815668202765,361.0
weighted avg,0.19502407448232675,0.3878116343490305,0.2595197671598351,361.0
