,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.75,0.6,0.6666666666666666,40.0
Healty Brinjal,0.8260869565217391,0.9223300970873787,0.8715596330275229,103.0
Phomopsis Bright,0.6,0.375,0.46153846153846156,32.0
Shoot and Fruit Borer,0.8205128205128205,0.8827586206896552,0.8504983388704319,145.0
Wet Rot,0.8157894736842105,0.7560975609756098,0.7848101265822784,41.0
accuracy,0.8033240997229917,0.8033240997229917,0.8033240997229917,0.8033240997229917
macro avg,0.7624778501437541,0.7072372557505288,0.7270146453370723,361.0
weighted avg,0.794206880656927,0.8033240997229917,0.7941994846643168,361.0
