,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.625,0.375,0.46875,40.0
Healty Brinjal,0.7304347826086957,0.8155339805825242,0.7706422018348624,103.0
Phomopsis Bright,0.6153846153846154,0.25,0.35555555555555557,32.0
Shoot and Fruit Borer,0.7158469945355191,0.903448275862069,0.7987804878048781,145.0
Wet Rot,0.8461538461538461,0.5365853658536586,0.6567164179104478,41.0
accuracy,0.7202216066481995,0.7202216066481995,0.7202216066481995,0.7202216066481995
macro avg,0.7065640477365353,0.5761135244596504,0.6100889326211488,361.0
weighted avg,0.7158371529112503,0.7202216066481995,0.6987603003678788,361.0
