,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.8095238095238095,0.85,0.8292682926829268,40.0
Healty Brinjal,0.926605504587156,0.9805825242718447,0.9528301886792453,103.0
Phomopsis Bright,0.6285714285714286,0.6875,0.6567164179104478,32.0
Shoot and Fruit Borer,0.9492753623188406,0.903448275862069,0.9257950530035336,145.0
Wet Rot,0.8648648648648649,0.7804878048780488,0.8205128205128205,41.0
accuracy,0.8864265927977839,0.8864265927977839,0.8864265927977839,0.8864265927977839
macro avg,0.8357681939732199,0.8404037210023925,0.8370245545577948,361.0
weighted avg,0.8893074572393533,0.8864265927977839,0.8870040854319992,361.0
