,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.5588235294117647,0.475,0.5135135135135135,40.0
Healty Brinjal,0.7572815533980582,0.7572815533980582,0.7572815533980582,103.0
Phomopsis Bright,0.21153846153846154,0.34375,0.2619047619047619,32.0
Shoot and Fruit Borer,0.7936507936507936,0.6896551724137931,0.7380073800738007,145.0
Wet Rot,0.45652173913043476,0.5121951219512195,0.4827586206896552,41.0
accuracy,0.6343490304709142,0.6343490304709142,0.6343490304709142,0.6343490304709142
macro avg,0.5555632154259025,0.5555763695526141,0.550693165915958,361.0
weighted avg,0.6673654524360506,0.6343490304709142,0.6474395193364817,361.0
