,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.8571428571428571,0.15,0.2553191489361702,40.0
Healty Brinjal,0.7333333333333333,0.7475728155339806,0.7403846153846154,103.0
Phomopsis Bright,0.35294117647058826,0.1875,0.24489795918367346,32.0
Shoot and Fruit Borer,0.7085714285714285,0.8551724137931035,0.775,145.0
Wet Rot,0.3333333333333333,0.4634146341463415,0.3877551020408163,41.0
accuracy,0.6426592797783933,0.6426592797783933,0.6426592797783933,0.6426592797783933
macro avg,0.5970644257703082,0.4807319726946851,0.48067136510905506,361.0
weighted avg,0.6579575874671197,0.6426592797783933,0.616570845483693,361.0
