,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.9428571428571428,0.825,0.88,40.0
Healty Brinjal,0.9099099099099099,0.9805825242718447,0.9439252336448598,103.0
Phomopsis Bright,0.7241379310344828,0.65625,0.6885245901639344,32.0
Shoot and Fruit Borer,0.9319727891156463,0.9448275862068966,0.9383561643835616,145.0
Wet Rot,0.8717948717948718,0.8292682926829268,0.85,41.0
accuracy,0.9030470914127424,0.9030470914127424,0.9030470914127424,0.9030470914127424
macro avg,0.8761345289424106,0.8471856806323336,0.8601611976384712,361.0
weighted avg,0.901626217156422,0.9030470914127424,0.9012984204606175,361.0
