,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.8076923076923077,0.525,0.6363636363636364,40.0
Healty Brinjal,0.8737864077669902,0.8737864077669902,0.8737864077669902,103.0
Phomopsis Bright,0.5333333333333333,0.25,0.3404255319148936,32.0
Shoot and Fruit Borer,0.7458563535911602,0.9310344827586207,0.8282208588957055,145.0
Wet Rot,0.8055555555555556,0.7073170731707317,0.7532467532467533,41.0
accuracy,0.7839335180055401,0.7839335180055401,0.7839335180055401,0.7839335180055401
macro avg,0.7532447915878693,0.6574275927392685,0.6864086376375959,361.0
weighted avg,0.7771504377364404,0.7839335180055401,0.7682085980576626,361.0
