,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.8292682926829268,0.85,0.8395061728395061,40.0
Healty Brinjal,0.9339622641509434,0.9611650485436893,0.9473684210526315,103.0
Phomopsis Bright,0.71875,0.71875,0.71875,32.0
Shoot and Fruit Borer,0.9310344827586207,0.9310344827586207,0.9310344827586207,145.0
Wet Rot,0.8648648648648649,0.7804878048780488,0.8205128205128205,41.0
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632
macro avg,0.8555759808914711,0.8482874672360717,0.8514343794327157,361.0
weighted avg,0.8942612309538053,0.8947368421052632,0.8941834346898253,361.0
