,precision,recall,f1-score,support
Brinjal Fruit Creaking,1.0,0.075,0.13953488372093023,40.0
Healty Brinjal,0.4796747967479675,0.5728155339805825,0.5221238938053098,103.0
Phomopsis Bright,0.0,0.0,0.0,32.0
Shoot and Fruit Borer,0.5384615384615384,0.8689655172413793,0.6649076517150396,145.0
Wet Rot,0.0,0.0,0.0,41.0
accuracy,0.5207756232686981,0.5207756232686981,0.5207756232686981,0.5207756232686981
macro avg,0.4036272670419012,0.30335621024439235,0.2653132858482559,361.0
weighted avg,0.4639430114735837,0.5207756232686981,0.43150073659131544,361.0
