,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.8048780487804879,0.825,0.8148148148148148,40.0
Healty Brinjal,0.9326923076923077,0.941747572815534,0.9371980676328503,103.0
Phomopsis Bright,0.6206896551724138,0.5625,0.5901639344262295,32.0
Shoot and Fruit Borer,0.896551724137931,0.896551724137931,0.896551724137931,145.0
Wet Rot,0.8095238095238095,0.8292682926829268,0.8192771084337349,41.0
accuracy,0.8642659279778393,0.8642659279778393,0.8642659279778393,0.8642659279778393
macro avg,0.8128671090613899,0.8110135179272785,0.811601129889112,361.0
weighted avg,0.8623683512452096,0.8642659279778393,0.8631567892138466,361.0
