,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.7674418604651163,0.825,0.7951807228915663,40.0
Healty Brinjal,0.9381443298969072,0.883495145631068,0.91,103.0
Phomopsis Bright,0.6923076923076923,0.5625,0.6206896551724138,32.0
Shoot and Fruit Borer,0.864516129032258,0.9241379310344827,0.8933333333333333,145.0
Wet Rot,0.875,0.8536585365853658,0.8641975308641975,41.0
accuracy,0.8614958448753463,0.8614958448753463,0.8614958448753463,0.8614958448753463
macro avg,0.8274820023403947,0.8097583226501834,0.8166802484523024,361.0
weighted avg,0.8606931447687248,0.8614958448753463,0.8597360941272724,361.0
