,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.8292682926829268,0.85,0.8395061728395061,40.0
Healty Brinjal,0.9252336448598131,0.9611650485436893,0.9428571428571428,103.0
Phomopsis Bright,0.7931034482758621,0.71875,0.7540983606557377,32.0
Shoot and Fruit Borer,0.9230769230769231,0.9103448275862069,0.9166666666666666,145.0
Wet Rot,0.8536585365853658,0.8536585365853658,0.8536585365853658,41.0
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632
macro avg,0.8648681690961781,0.8587836825430525,0.8613573759208839,361.0
weighted avg,0.8938926906339592,0.8947368421052632,0.8940231214280226,361.0
