,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.0,0.0,0.0,40.0
Healty Brinjal,0.6187050359712231,0.8349514563106796,0.7107438016528925,103.0
Phomopsis Bright,0.0,0.0,0.0,32.0
Shoot and Fruit Borer,0.6479591836734694,0.8758620689655172,0.7448680351906158,145.0
Wet Rot,0.6538461538461539,0.4146341463414634,0.5074626865671642,41.0
accuracy,0.6371191135734072,0.6371191135734072,0.6371191135734072,0.6371191135734072
macro avg,0.38410207469816926,0.425089534323532,0.39261490468213456,361.0
weighted avg,0.5110481790730785,0.6371191135734072,0.5596078859339084,361.0
