,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.6764705882352942,0.575,0.6216216216216216,40.0
Healty Brinjal,0.7102803738317757,0.7378640776699029,0.7238095238095238,103.0
Phomopsis Bright,0.2857142857142857,0.0625,0.10256410256410256,32.0
Shoot and Fruit Borer,0.7741935483870968,0.8275862068965517,0.8,145.0
Wet Rot,0.43103448275862066,0.6097560975609756,0.5050505050505051,41.0
accuracy,0.6814404432132964,0.6814404432132964,0.6814404432132964,0.6814404432132964
macro avg,0.5755386557854145,0.562541276425486,0.5506091506091506,361.0
weighted avg,0.6628560595184884,0.6814404432132964,0.6631755340896615,361.0
