,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.825,0.825,0.825,40.0
Healty Brinjal,0.9150943396226415,0.941747572815534,0.9282296650717703,103.0
Phomopsis Bright,0.5714285714285714,0.625,0.5970149253731343,32.0
Shoot and Fruit Borer,0.9219858156028369,0.896551724137931,0.9090909090909091,145.0
Wet Rot,0.8205128205128205,0.7804878048780488,0.8,41.0
accuracy,0.8642659279778393,0.8642659279778393,0.8642659279778393,0.8642659279778393
macro avg,0.8108043094333741,0.8137574203663028,0.8118670999071627,361.0
weighted avg,0.8666742386988459,0.8642659279778393,0.8651809277908987,361.0
