,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.7272727272727273,0.8,0.7619047619047619,40.0
Healty Brinjal,0.9047619047619048,0.9223300970873787,0.9134615384615384,103.0
Phomopsis Bright,0.6551724137931034,0.59375,0.6229508196721312,32.0
Shoot and Fruit Borer,0.8859060402684564,0.9103448275862069,0.8979591836734694,145.0
Wet Rot,0.8529411764705882,0.7073170731707317,0.7733333333333333,41.0
accuracy,0.850415512465374,0.850415512465374,0.850415512465374,0.850415512465374
macro avg,0.805210852513356,0.7867483995688633,0.7939219274090469,361.0
weighted avg,0.8495120958365233,0.850415512465374,0.8487753558630384,361.0
