,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.7073170731707317,0.725,0.7160493827160493,40.0
Healty Brinjal,0.8421052631578947,0.9320388349514563,0.8847926267281107,103.0
Phomopsis Bright,0.5454545454545454,0.375,0.4444444444444444,32.0
Shoot and Fruit Borer,0.8493150684931506,0.8551724137931035,0.852233676975945,145.0
Wet Rot,0.8421052631578947,0.7804878048780488,0.810126582278481,41.0
accuracy,0.8116343490304709,0.8116343490304709,0.8116343490304709,0.8116343490304709
macro avg,0.7572594426868434,0.7335398107245217,0.741529342628606,361.0
weighted avg,0.8037702803535135,0.8116343490304709,0.8055039089163141,361.0
