,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.7333333333333333,0.825,0.7764705882352941,40.0
Healty Brinjal,0.9230769230769231,0.9320388349514563,0.927536231884058,103.0
Phomopsis Bright,0.6451612903225806,0.625,0.6349206349206349,32.0
Shoot and Fruit Borer,0.9041095890410958,0.9103448275862069,0.9072164948453608,145.0
Wet Rot,0.8857142857142857,0.7560975609756098,0.8157894736842105,41.0
accuracy,0.8642659279778393,0.8642659279778393,0.8642659279778393,0.8642659279778393
macro avg,0.8182790842976437,0.8096962447026546,0.8123866847139116,361.0
weighted avg,0.8655556615673784,0.8642659279778393,0.8640063044447645,361.0
