,precision,recall,f1-score,support
Brinjal Fruit Creaking,0.7391304347826086,0.85,0.7906976744186046,40.0
Healty Brinjal,0.9158878504672897,0.9514563106796117,0.9333333333333333,103.0
Phomopsis Bright,0.7407407407407407,0.625,0.6779661016949152,32.0
Shoot and Fruit Borer,0.9103448275862069,0.9103448275862069,0.9103448275862069,145.0
Wet Rot,0.8611111111111112,0.7560975609756098,0.8051948051948052,41.0
accuracy,0.8725761772853186,0.8725761772853186,0.8725761772853186,0.8725761772853186
macro avg,0.8334429929375915,0.8185797398482857,0.823507348445573,361.0
weighted avg,0.8723294328218681,0.8725761772853186,0.8711056581088694,361.0
