,precision,recall,f1-score,support
Brinjal Fruit Creaking,1.0,0.175,0.2978723404255319,40.0
Healty Brinjal,0.6210526315789474,0.5728155339805825,0.5959595959595959,103.0
Phomopsis Bright,0.15384615384615385,0.125,0.13793103448275862,32.0
Shoot and Fruit Borer,0.6153846153846154,0.9379310344827586,0.7431693989071039,145.0
Wet Rot,0.25,0.07317073170731707,0.11320754716981132,41.0
accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
macro avg,0.5280566801619433,0.37678346003413166,0.3776279833889603,361.0
weighted avg,0.5772084964168358,0.5789473684210527,0.5266304636559563,361.0
